"front","back","tags"
"compmem: memory systems can be classified according to? (key characteristics)","location, capacity, unit of transfer, method of accessing, performance, physical type, physical characteristics, and organization (LCUMPPPO)","computer-memory"
"compmem: location refers to?","whether memory is internal or external","computer-memory location"
"compmem: (...) refers to whether memory is internal or external","location","computer-memory location"
"compmem: internal memory refers to?","devices such as main memory","computer-memory location"
"compmem: external memory refers to?","peripherals such as disk drives","computer-memory location"
"compmem: external memory is accessible to the (...) via (...)","processor, I/O controllers","computer-memory location"
"compmem: main memory is example of an (...) memory","external memory","computer-memory location"
"compmem: an internal ssd is an example of an (...) memory","internal memory","computer-memory location"
"compmem: disk drives are an example of an (...) memory","internal memory","computer-memory location"
"compmem: internal memory’s capacity is typically expressed in?","bytes or words","computer-memory capacity"
"compmem: external memory’s capacity is typically expressed in?","bytes","computer-memory capacity"
"compmem: how many bits in a byte? (number sounds like the word “byte”)","8 bits","computer-memory capacity"
"compmem: how many bits in a word? (more than or equal to a byte)","usually 8, 16, 32, or 64 bits","computer-memory capacity"
"compmem: definition of word","“natural” unit of organization of memory","computer-memory capacity"
"compmem: size of a word is typically equal to (...) or (...)","the length of an integer (in bits), the length of an instruction (in bits)","computer-memory capacity"
"compmem,wordsize: both lengths are usually (...), but (...)","the same, there are exceptions","computer-memory capacity"
"compmem: in some systems, the addressable unit is the (...)","word","computer-memory capacity"
"compmem: many systems allow addressing at the (...) level","byte","computer-memory capacity"
"compmem: length in bits of an address (A) determines?","number of addressable units (N)","computer-memory capacity"
"compmem: the number of addressable units (N) is determined by?","length in bits of an address (A)","computer-memory capacity"
"compmem: unit of transfer refers to?","how much data can be read out of or written into memory at a time","computer-memory unit-of-transfer"
"compmem: unit of transfer for internal memory is equal to?","the number of electrical lines into and out of the memory module","computer-memory unit-of-transfer"
"compmem: unit of transfer for internal memory (‘s amt) may be equal to (...) but is often (...)","word length, larger","computer-memory unit-of-transfer"
"compmem: unit of transfer for external memory is called a?","block","computer-memory unit-of-transfer"
"compmem,uot: a block is (...) than a word (size)","significantly larger","computer-memory unit-of-transfer"
"compmem: memory can be classified according to?","methods of accessing units of data","computer-memory method-of-accessing"
"compmem: the four classifications of memory according to their methods of accessing units of data?","sequential access, direct access, random access, associative (SDRA)","computer-memory method-of-accessing"
"compmem,seq: memory is organized into units of data called?","records","computer-memory method-of-accessing sequential-access"
"compmem,seq: access must be made how?","in a specific linear sequence","computer-memory method-of-accessing sequential-access"
"compmem,seq: the time to access a record is (...)","highly variable","computer-memory method-of-accessing sequential-access"
"compmem,seq: shared read-write mechanism must be moved from (...) to (...)","the current location, the desired location","computer-memory method-of-accessing sequential-access"
